,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1458, My Kid Brother,Good News,rock,3pwGvbD9HsxwbOJ2XxdnS6,0.711,0.689,1,-2.919,0,0.0524,0.114,0.0,0.0696,0.443,115.01,190320,4
1459, Alison Mosshart,Rise,rock,19NJUQciFoAil1YmMS6cNA,0.469,0.653,10,-7.101,0,0.0512,0.00131,1e-05,0.304,0.107,145.084,251293,4
1460, The Glorious Sons,Closer To The Sky,rock,1pf8bjnKw5SgtfSvINI0Kt,0.629,0.881,7,-4.525,1,0.0731,0.003,0.00716,0.109,0.454,93.933,206360,4
1461, Bones Owens,Blind Eyes,rock,4hNysyXCfpo0pES5HiuHU9,0.637,0.525,9,-6.421,0,0.0244,0.0187,0.0,0.463,0.621,140.092,196909,4
1462, Charlie Overbey LP Jimmy Vivino Rami Jaffee Darryl Jones Steve Ferrone,Ode to John Prine,rock,2PDjEcsQSTvOO4DnLJs5tJ,0.512,0.858,4,-5.717,0,0.0349,0.0479,1.83e-05,0.374,0.392,125.065,225093,4
1463, Levi Conner,Between Heaven & Hell,rock,4D6r3SjkRXzIUyMi2TH0Zh,0.425,0.751,0,-4.965,1,0.0386,0.138,0.00048,0.298,0.424,144.891,277490,4
1464, The Picturebooks,The Hands of Time,rock,3S4pvBVfCMaUQlP8OGxuGD,0.672,0.839,2,-6.196,1,0.0275,0.149,0.0,0.335,0.74,111.007,187424,4
1465, JJ Wilde,Cold Shoulder,rock,2x8e0md79ekZL66whKnODm,0.514,0.837,11,-3.851,0,0.0945,0.000359,6.64e-06,0.178,0.336,99.316,210117,4
1466, Ben Kweller,Only a Day,rock,2xp1kia5KvUdZGABJCfwHG,0.62,0.501,6,-6.608,0,0.032,0.00159,0.000731,0.337,0.353,75.005,210498,4
1467, DeWolff,Live Like You,rock,3RqP7ov8PZyZbBjgipuTkP,0.543,0.631,4,-10.665,0,0.0433,0.00583,0.0269,0.321,0.603,97.519,181093,4
1468, LP,The One That You Love,rock,5NnWdv3GTcCNG5lVeB7H57,0.354,0.627,5,-7.166,0,0.0424,0.0103,0.00577,0.24,0.541,183.886,223427,3
1469, The Heavy Hours,Don't Walk Away,rock,7dPVsdt3R4ayf13F2rLxuZ,0.677,0.934,11,-4.588,1,0.037,0.132,0.0,0.134,0.908,112.992,174839,4
1470, Travis,A Ghost,rock,6Nf3vTytXZsEb9vCf1RDt6,0.298,0.883,7,-3.415,0,0.0712,0.258,0.0,0.127,0.65,190.093,225053,4
1471, Barns Courtney,Hard To Be Alone,rock,14NNdJ03Vt6QfrY99FpmE5,0.414,0.476,3,-6.52,1,0.0302,0.91,0.0,0.0863,0.24,94.087,182053,4
1472, Larkin Poe,Holy Ghost Fire,rock,3VuJi1qJ2gcL7XHjEJZuga,0.522,0.811,4,-5.343,0,0.0372,0.0263,0.0,0.299,0.466,92.889,202917,4
1473, Andrew Hagar,Cold Knife Karma,rock,7y1Q7TK1MkHqy1ypEAvNOm,0.495,0.768,3,-4.517,0,0.0508,0.0717,0.000943,0.0638,0.445,101.14,181280,4
1474, Sammy Brue,Teenage Mayhem,rock,3p2E8UtbP3ocnRUIKY9zw5,0.475,0.922,2,-3.579,0,0.0446,0.0092,0.0,0.327,0.488,125.971,168812,4
1475, Mt. Joy,My Vibe,rock,6mf82AFoXnHzIo7sOxfFcH,0.673,0.704,6,-5.766,0,0.0339,0.493,2.04e-06,0.0732,0.578,93.547,157267,4
1476, KONGOS,Terrified,rock,22cFNfzYDdFEpgNQhuWabV,0.57,0.711,4,-8.008,0,0.176,0.138,0.0193,0.121,0.721,167.972,221547,4
1477, Skrizzly Adams,28,rock,3ski9BilmqRxwMqIRpLJ3x,0.428,0.516,6,-8.01,1,0.0652,0.0616,0.0,0.0859,0.264,167.727,207274,4
1478, Michigander,Reds,rock,0njZM9hISA7MaO01hvZKXZ,0.524,0.648,8,-6.586,1,0.0275,0.0108,0.00189,0.116,0.429,90.998,261141,4
1479, The Black Keys,Shine A Little Light,rock,365TSrFPqM66giaxJuafR3,0.44,0.719,8,-6.645,0,0.0445,0.0217,5.09e-06,0.0663,0.523,111.398,196777,4
1480, Briston Maroney,The Garden,rock,1VsAakakwbHaPiL6hXSPZ5,0.572,0.626,9,-9.453,1,0.0558,0.00481,0.000469,0.113,0.17,97.026,190253,4
1481, Rival Sons,Shooting Stars,rock,00kbL0ei9bVKAp9I23vF1l,0.396,0.708,9,-4.864,1,0.0446,0.318,0.0,0.106,0.204,94.863,260133,4
1482, Ayron Jones,Boys From The Puget Sound,rock,30MX7YQUfhQRzEEP8icha8,0.534,0.705,10,-5.572,0,0.0734,0.00105,0.0115,0.0836,0.428,148.077,213927,4
1483, Brittany Howard,History Repeats,rock,7u0FwjCZoc3uZA4OJtlUrB,0.555,0.933,11,-6.287,0,0.118,0.437,0.307,0.267,0.616,97.878,184827,4
1484, Black Pumas,I'm Ready,rock,3ly4eSo8luk4kEvYNkKFjv,0.69,0.666,2,-8.678,1,0.0346,0.0742,0.000942,0.117,0.835,96.324,239467,4
