,Artiste,Titre,Année,Rang,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
178,babylon zoo,spaceman (b o f  pub levi's),1996,19,0uQcP7QVoLvaFsORsdrgNh,50,0.46,0.873,0,-7.96,1,0.0602,0.0161,4.27e-05,0.255,0.485,146.247,242493,4
179,worlds apart,baby come back,1996,20,5wJMAT8aulMmSBOC503JfM,27,0.678,0.919,8,-7.7,1,0.0371,0.0116,0.0,0.0675,0.649,138.024,238933,4
180,george michael,fastlove,1996,21,6SaeXxdt0Id6ZzmX0ZGTQK,63,0.735,0.64,10,-7.522,0,0.072,0.052,0.00102,0.345,0.551,104.444,324667,4
181,florent pagny,caruso,1996,22,6hzYm5996aRNtqmCdL4Jku,36,0.278,0.412,7,-8.129,0,0.0346,0.432,0.00107,0.192,0.168,63.505,341867,3
182,bbe,seven days and one week,1996,23,47BPp5TPDpl0wCXB0FWXvg,50,0.777,0.931,1,-8.543,1,0.0509,0.00364,0.865,0.0602,0.493,137.871,271569,4
183,michael jackson,they don't care about us,1996,24,3wuCCNCnBhJlwkIJTBZFiv,71,0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,284160,4
184,robert miles,fable,1996,25,2twB1Aq7Y6dv53ynOyVNPH,32,0.602,0.763,1,-10.476,0,0.027,0.0141,0.933,0.721,0.22,136.082,432867,4
185,eros ramazzotti,piu bella cosa,1996,26,0KligwQn4Iy344p2Q5m6k6,61,0.691,0.76,8,-6.82,1,0.0262,0.0524,0.0,0.217,0.639,110.008,265027,4
186,le festival robles,ma caravane,1996,27,7H8GtUwsakZwyNfhpRKFVo,36,0.403,0.703,1,-7.087,0,0.038,0.191,0.000236,0.917,0.231,107.518,208093,4
187,luniz,i got five on it,1996,32,4IYKjN1DrYzxKXt0umJqsG,73,0.6,0.706,10,-7.899,0,0.361,0.209,0.0,0.125,0.58,173.926,253533,4
188,teri moise,les poemes de michelle,1996,33,7o66Lbfoq3QGkBpZpt3VCd,44,0.536,0.677,3,-4.59,0,0.0252,0.445,0.0,0.115,0.589,90.112,237320,4
189,lilicub,voyage en italie,1996,35,5FmknnkNLdiGeDndWfuxON,49,0.73,0.507,9,-11.961,0,0.0308,0.362,0.000368,0.0682,0.699,135.025,235467,4
190,mark morrison,return of the mack,1996,36,3jDdpx9PMlfMBS5tOBHFm9,73,0.715,0.833,2,-5.379,1,0.108,0.00631,0.0,0.164,0.612,95.487,213093,4
191,worlds apart,everybody,1996,37,49rJkfECkLBploKIy92L68,20,0.616,0.968,0,-6.147,0,0.0489,0.0296,1.06e-06,0.333,0.825,141.989,235027,4
192,ophelie winter,le feu qui m'attise,1996,40,5uzYu544WKIH82GXvS09yq,17,0.68,0.893,10,-6.329,0,0.0298,0.0386,0.00897,0.254,0.961,102.001,237400,4
193,zhi-vago,celebrate,1996,42,18zQdV6BhfeoVU4OLnEO7p,45,0.567,0.818,9,-6.772,1,0.0317,0.000996,0.728,0.165,0.602,134.991,250933,4
194,3 t ring michael jackson,why,1996,43,4UKCKdYiLN6IMA5ZESUTL7,83,0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,4
195,spice girls,say you'll be there,1996,44,4o0QeVYvmqTDrp8tMIciHZ,0,0.727,0.675,1,-6.273,1,0.0491,0.0163,3.65e-06,0.098,0.807,107.024,237933,4
197,spice girls,say you'll be there,1997,67,4o0QeVYvmqTDrp8tMIciHZ,0,0.727,0.675,1,-6.273,1,0.0491,0.0163,3.65e-06,0.098,0.807,107.024,237933,4
199,2 be 3,partir un jour,1996,45,5GkV63KRqdzdPHbtqlXnHn,40,0.607,0.931,5,-6.602,0,0.0441,0.113,1.67e-05,0.306,0.79,138.107,227133,4
201,2 be 3,partir un jour,1997,28,5GkV63KRqdzdPHbtqlXnHn,40,0.607,0.931,5,-6.602,0,0.0441,0.113,1.67e-05,0.306,0.79,138.107,227133,4
203,helene segara,je vous aime adieu,1996,46,59RLcqdnYJwLe3GukNjiyw,21,0.585,0.739,1,-7.364,0,0.0432,0.314,3.02e-06,0.184,0.581,87.087,236573,4
204,eric clapton,change the world,1996,47,6BQNJ0JFKh8sWjQLI6Zudi,67,0.721,0.558,9,-8.8,1,0.0246,0.492,0.00563,0.113,0.542,96.887,234867,4
205,celine dion,all by myself,1996,49,0gsl92EMIScPGV1AU35nuD,66,0.344,0.325,11,-10.005,0,0.0287,0.348,0.0239,0.0686,0.0773,118.556,312307,4
206,akhenaton,bad boys de marseille,1996,50,78ujFEl6ZHZF8wRy7dYo0T,45,0.67,0.597,11,-8.379,0,0.269,0.0821,1.75e-05,0.0729,0.867,168.981,225693,4
207,donna lewis,i love you always for ever,1996,51,1PEqh7awkpuepLBSq8ZwqD,69,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,239960,4
208,worlds apart,everlasting love,1996,54,6jnCEQ5tJ9vgF0YZOTegIf,23,0.649,0.986,5,-5.696,1,0.052,0.017,0.00049,0.129,0.6,130.005,228400,4
209,joan osborne,one of us,1996,55,1xNmF1Uep5OGutizZSbKvd,66,0.316,0.499,9,-7.899,1,0.0298,0.0108,1.81e-05,0.126,0.403,174.782,320467,4
210,g squad,raide dingue de toi,1996,56,3LrOPsejwqPlz5gQyQMJFv,23,0.794,0.844,1,-1.816,0,0.034,0.0703,1.37e-06,0.399,0.944,107.986,192667,4
211,alanis,ironic,1996,57,5IuVJVGowdM0V1nvdp5tKu,0,0.365,0.545,11,-9.213,1,0.0511,0.448,0.0,0.314,0.458,105.355,235291,5
212,george michael,a jesus to a child,1996,58,2SzCxX6M6vDwdEwnHDiTaY,61,0.534,0.415,1,-11.781,0,0.0278,0.314,0.000365,0.0847,0.188,173.561,411147,4
213,mariah carey  boyz ii men,one sweet day,1996,59,7ySbfLwdCwl1EM0zNCJZ38,68,0.569,0.495,1,-8.964,1,0.03,0.353,0.0,0.0839,0.302,128.228,281067,4
214,ophelie winter,shame on u,1996,60,5Ui48l2ViRrnssgzipXNPc,31,0.653,0.836,8,-5.082,1,0.0962,0.0425,0.0,0.268,0.623,94.998,277440,4
