,Artiste,Titre,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
811,Dee Dee Bridgewater,Les Feuilles Mortes / Autumn Leaves,7JoxuAMDX9BiQZKnjMlaHe,0.457,0.0913,9,-22.652,0,0.0457,0.882,0.000206,0.111,0.126,117.06,409000,3
812,Dee Dee Bridgewater,Hound Dog,26QOKAY7kr2EazSmLxZLdW,0.814,0.456,11,-7.009,0,0.109,0.754,0.000101,0.112,0.599,140.159,218173,4
813,Deep Purple,Nasty Piece of Work,4TOEP8CEgS228Lr1zgbNg2,0.376,0.823,4,-7.498,0,0.0387,0.000945,0.00839,0.344,0.662,79.617,275227,4
814,David DeeJay,Nasty Dream,7HBTmTUmq1iftFZ1JlJDd3,0.651,0.703,0,-6.191,0,0.0501,0.0728,0.358,0.69,0.576,127.982,192772,4
815,David DeeJay,Nasty Dream,0xx3I8fMIOJkKvYRMYxgU6,0.632,0.711,0,-6.154,0,0.0492,0.0659,0.299,0.807,0.602,127.969,190827,4
816,Deep Purple,Smoke on the Water,5SAUIWdZ04OxYfJFDchC7S,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173,4
817,Deep Purple,Highway Star,4gVTozEmzwAUXpwj3jEetX,0.298,0.895,9,-7.647,0,0.0547,0.0283,0.00574,0.305,0.544,173.737,368507,4
818,Deep Sleep Music Collective,Purple Star,6P18h1X557wTCkuiAxnzzf,0.156,0.00418,2,-36.375,1,0.0467,0.944,0.967,0.0953,0.0419,81.368,122958,4
819,Del Amitri,Roll To Me,7LF0YY1gON8rBECsyEs0Wb,0.567,0.821,6,-5.894,1,0.0371,0.418,0.0,0.108,0.895,150.106,132307,4
820,Del Amitri,Nothing Ever Happens,6SheHu5m33TpnVxlZumHeS,0.491,0.41,5,-15.447,1,0.0317,0.365,0.0,0.135,0.506,107.012,231933,4
821,Del Amitri,Tell Her This,0bnuObY08o8EMPvqvFTEtg,0.471,0.387,8,-9.416,1,0.0248,0.652,1.27e-05,0.123,0.348,66.787,191560,4
822,Royal Deluxe,I'm A Wanted Man,1q5n4SZTuJ6Vk710HkitdB,0.486,0.593,11,-5.157,0,0.0349,0.00923,3.77e-06,0.325,0.257,82.032,228987,4
823,Royal Deluxe,Dangerous,2xQ9G8lA5PZFYStV75AtyI,0.503,0.486,11,-6.12,0,0.0776,0.0276,0.000218,0.0904,0.764,78.801,220173,4
824,Daniel Deluxe,Star Eater,018SQDupRTRsl1Wolu1X0c,0.577,0.555,2,-9.045,1,0.0598,0.618,0.866,0.116,0.147,189.97,272855,3
825,Denai Moore,Cascades,70p2JCsiqE8hhrFhb0dhuq,0.793,0.421,2,-8.681,1,0.0608,0.25,6.43e-06,0.114,0.251,119.989,216667,4
826,Denai Moore,Cascades,3ixhiE73RD6GLV6F0qczlA,0.793,0.421,2,-8.681,1,0.0608,0.25,6.43e-06,0.114,0.251,119.989,216667,4
827,Denai Moore,Fake Sorry,5wUPf0caKIG3iGgyZtk7kT,0.656,0.386,0,-6.512,1,0.0696,0.357,0.0,0.147,0.451,156.753,220480,4
828,Deportivo,Parmi Eux,6jtZh27L93dfXFuIct1Pgg,0.533,0.929,0,-2.412,1,0.0628,0.00508,0.0,0.118,0.767,124.991,136733,4
829,Deportivo,Domino,2awbiq38kOBugJbx48x4xG,0.306,0.977,0,-0.334,0,0.0849,0.00863,0.0563,0.257,0.507,165.048,208653,4
830,Deportivo,Les Bières Aujourd'hui S'Ouvrent Manuellement,5wYu3gSBSQYtQCDCs9rDpr,0.562,0.862,4,-3.09,0,0.0476,0.00707,0.0,0.283,0.75,116.016,132733,4
831,Devendra Banhart,Mi Negrita,4r7iDEGdW2Gw9hJlCbi5qL,0.693,0.4,2,-11.631,1,0.0319,0.903,0.803,0.0986,0.573,117.954,204507,4
832,Devendra Banhart,Love Song - Helado Negro Remix,2PKJ88Ap4ebLFxJ4lwAGRF,0.734,0.243,0,-15.836,0,0.0901,0.713,0.0279,0.0623,0.677,153.485,259227,4
833,Devendra Banhart,Baby,17XvbAd3K1GOjWy5uQvK2U,0.833,0.325,1,-10.093,0,0.0404,0.0498,0.0674,0.15,0.864,102.02,185787,4
834,Neil Diamond,Sweet Caroline,62AuGbAkt8Ox2IrFFb8GKV,0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,4
835,Diamond Rio,Meet In the Middle,7lUE02KHkZM44BZgjCaWRO,0.746,0.443,4,-11.305,1,0.0359,0.663,0.0,0.223,0.554,91.11,198333,4
836,DIAMANTE,Iris,6yfGW1uvUa3riTuZbf3zed,0.381,0.65,4,-5.706,1,0.0318,0.00183,0.0,0.333,0.152,154.773,224860,3
837,Diana Krall,The Look Of Love,3CDHydgW0ssTh59f0jy1y3,0.58,0.299,10,-13.03,1,0.0269,0.699,0.00386,0.0805,0.364,93.037,282000,4
838,Diana Krall,Let's Fall In Love,4IVyX0UJzGyUk0MLiz1jVJ,0.615,0.177,5,-16.925,0,0.0465,0.82,0.000186,0.135,0.383,124.558,258960,4
839,Diana Krall,Night And Day,5gSYmTVASekarEoK4puiRD,0.49,0.121,5,-18.532,1,0.029,0.872,0.0808,0.122,0.256,103.683,278293,4
840,Diane Birch,Love and War,3bIby4j7DjSh9GkaDhJtjH,0.75,0.664,8,-4.986,1,0.0313,0.106,2.28e-06,0.0761,0.494,111.643,238200,4
841,Diane Birch,Nothing But A Miracle,6IZVRuDF1R3vu7M7x6jAkM,0.682,0.457,4,-8.636,0,0.253,0.523,0.000103,0.107,0.36,152.153,266747,4
842,Diane Birch,The End,1rHajuCUzX0QFQ9IVNt9pI,0.327,0.274,7,-11.424,0,0.0395,0.792,0.041,0.107,0.217,123.946,310935,4
843,Diane Tell,Si j'étais un homme,0qnN7RceovLP58nCY0fdME,0.396,0.427,6,-8.908,1,0.0362,0.78,0.0,0.185,0.13,134.686,289013,4
844,Diane Tell,Souvent longtemps énormément,52AAbgAFJOTvBngjPJHYoL,0.836,0.514,0,-9.978,1,0.0506,0.47,0.000295,0.132,0.745,113.501,256227,4
845,Diane Birch,Tell Me Tomorrow,5IdYLbFM3fKrxT1o4OZQ9O,0.562,0.66,10,-6.942,1,0.0293,0.00366,1.26e-05,0.113,0.422,152.299,223933,4
846,Dick Annegarn,Coutances,0yEMdo2I8QX5RwLDiHC20t,0.453,0.132,2,-15.745,1,0.0335,0.143,0.0237,0.24,0.24,126.908,173933,4
847,Dick Annegarn,Bruxelles,2e1Ere7N2l2n3tHPJP2KxO,0.416,0.35,4,-10.676,1,0.0417,0.582,0.0,0.0942,0.16,132.806,148133,4
848,Dick Annegarn,Modigliani,6qecRJ0X5JvLHvmA9UifH7,0.418,0.313,4,-8.416,0,0.0297,0.871,0.00132,0.193,0.381,147.969,234027,3
849,Dick Rivers,Nice baie des anges,2Mo6VdN4wo0HsCm2TjePNg,0.617,0.894,3,-4.393,0,0.0499,0.17,0.0,0.284,0.884,116.542,207373,4
850,Dick Rivers,"Faire un pont ""(take me home) country roads""",5yrxO8lktJsjvsD4vTWvv9,0.543,0.541,5,-11.351,1,0.0255,0.462,9.46e-05,0.235,0.737,89.81,186293,4
851,Dick Rivers,Faire un pont,4nD4lnK7WruZRjRbGndLHY,0.526,0.466,1,-16.266,0,0.0527,0.529,0.0,0.98,0.634,82.17,275867,4
